ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
2902240,0.187,0.000,0.187,0.000,{method 'copy' of 'list' objects}
60331464,2.592,0.000,2.592,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
7028924,0.438,0.000,0.438,0.000,{method 'get' of 'dict' objects}
2788901,0.190,0.000,0.190,0.000,{method 'pop' of 'dict' objects}
2902240,0.178,0.000,0.178,0.000,{method 'keys' of 'dict' objects}
20698520,3.266,0.000,3.266,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
66747262,5.797,0.000,5.797,0.000,{method 'split' of 'str' objects}
38494800,2.252,0.000,2.252,0.000,{method 'lower' of 'str' objects}
30165731,1.379,0.000,1.379,0.000,{method 'lstrip' of 'str' objects}
67472867,3.648,0.000,3.648,0.000,{method 'rstrip' of 'str' objects}
66747262,2.859,0.000,2.859,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
71562908,5.275,0.000,5.506,0.000,{built-in method builtins.isinstance}
37307136,1.569,0.000,1.569,0.000,{built-in method builtins.len}
38494800,6.592,0.000,6.592,0.000,{method 'sub' of 're.Pattern' objects}
30165731,3.192,0.000,3.192,0.000,{method 'findall' of 're.Pattern' objects}
63293,0.048,0.000,0.048,0.000,{built-in method _codecs.utf_8_decode}
725560,0.113,0.000,0.113,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
63293,0.040,0.000,0.088,0.000,codecs.py:319(decode)
725560,0.118,0.000,0.231,0.000,abc.py:96(__instancecheck__)
1,0.070,0.070,184.794,184.794,profiling.py:11(read_data)
1,0.839,0.839,185.635,185.635,profiling.py:22(main)
38494800,7.183,0.000,23.306,0.000,re.py:203(sub)
30165731,6.324,0.000,17.378,0.000,re.py:233(findall)
68660531,12.406,0.000,17.393,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
725560,0.763,0.000,61.746,0.000,Spectrum.py:71(__init__)
1451120,0.461,0.000,0.461,0.000,{method 'copy' of 'numpy.ndarray' objects}
1451120,2.235,0.000,2.235,0.000,{built-in method numpy.array}
1451120,0.396,0.000,3.446,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
1451120,1.266,0.000,1.266,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1451120,0.276,0.000,0.276,0.000,fromnumeric.py:70(<dictcomp>)
1451120,0.817,0.000,2.448,0.000,fromnumeric.py:69(_wrapreduction)
1451120,0.129,0.000,0.129,0.000,fromnumeric.py:2399(_all_dispatcher)
1451120,0.602,0.000,3.050,0.000,fromnumeric.py:2404(all)
1451120,0.456,0.000,4.031,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
725560,0.196,0.000,17.559,0.000,Spectrum.py:175(get)
725560,0.083,0.000,0.083,0.000,Spectrum.py:216(losses)
725560,0.258,0.000,17.859,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
10,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
10,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.000,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.000,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
1,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
725560,0.605,0.000,4.195,0.000,Fragments.py:35(__init__)
725560,0.850,0.000,3.529,0.000,Fragments.py:60(_is_sorted)
1451120,0.262,0.000,0.723,0.000,Fragments.py:66(mz)
725560,0.527,0.000,38.846,0.000,Metadata.py:42(__init__)
725560,0.298,0.000,34.324,0.000,Metadata.py:78(harmonize_metadata)
725560,0.314,0.000,17.363,0.000,Metadata.py:92(get)
1451120,1.164,0.000,20.303,0.000,PickyDict.py:82(__init__)
725560,0.273,0.000,16.997,0.000,PickyDict.py:110(copy)
25663200,17.488,0.000,45.472,0.000,PickyDict.py:152(_harmonize_key)
2902240,6.428,0.000,52.791,0.000,PickyDict.py:163(_apply_replacements)
725560,0.189,0.000,15.493,0.000,PickyDict.py:196(key_replacements)
725560,0.184,0.000,18.533,0.000,PickyDict.py:205(key_regex_replacements)
725561,1.257,0.000,184.725,0.000,load_from_msp.py:7(load_from_msp)
725561,40.208,0.000,119.598,0.000,load_from_msp.py:58(parse_msp_file)
30165731,12.992,0.000,18.558,0.000,load_from_msp.py:109(get_peak_values)
30165731,5.724,0.000,8.428,0.000,load_from_msp.py:120(<lambda>)
30165731,8.062,0.000,9.959,0.000,load_from_msp.py:117(get_peak_tuples)
30165731,8.805,0.000,26.183,0.000,load_from_msp.py:124(get_peak_comment)
6415800,3.028,0.000,4.975,0.000,load_from_msp.py:133(parse_metadata)
36581531,2.483,0.000,2.483,0.000,load_from_msp.py:148(contains_metadata)
1,0.000,0.000,0.000,0.000,logging_functions.py:49(_init_logger)
1,0.000,0.000,0.000,0.000,logging_functions.py:60(set_matchms_logger_level)
1,0.000,0.000,0.001,0.001,logging_functions.py:110(reset_matchms_logger)


